"species","accepted_gbif","synonyms_gbif","class","order","family","source","synonym_faunabr"
"Breviceps gibbosus","Breviceps gibbosus","Rana gibbosa","Amphibia","Anura","Brevicipitidae","gbif_only",NA
"Brucepattersonius guarani","Brucepattersonius guarani",NA,"Mammalia","Rodentia","Cricetidae","gbif_only",NA
"Brucepattersonius misionensis","Brucepattersonius misionensis",NA,"Mammalia","Rodentia","Cricetidae","gbif_only",NA
"Brucepattersonius paradisus","Brucepattersonius paradisus",NA,"Mammalia","Rodentia","Cricetidae","gbif_only",NA
"Bucco tamatia","Bucco tamatia",NA,"Aves","Piciformes","Bucconidae","gbif_only",NA
"Buteo ventralis","Buteo ventralis",NA,"Aves","Accipitriformes","Accipitridae","gbif_only",NA
"Calyptommatus frontalis","Calyptommatus frontalis",NA,"Squamata",NA,"Gymnophthalmidae","gbif_only",NA
"Campephilus magellanicus","Campephilus magellanicus",NA,"Aves","Piciformes","Picidae","gbif_only",NA
"Cardioderma cor","Cardioderma cor","Megaderma cor","Mammalia","Chiroptera","Megadermatidae","gbif_only",NA
"Carollia castanea","Carollia castanea",NA,"Mammalia","Chiroptera","Phyllostomidae","gbif_only",NA
"Centrolene buckleyi","Centrolene buckleyi","Hylella buckleyi","Amphibia","Anura","Centrolenidae","gbif_only",NA
"Cercomacra tyrannina","Cercomacra tyrannina","Pyriglena tyrannina","Aves","Passeriformes","Thamnophilidae","gbif_only",NA
"Cercosaura olivacea","Cercosaura olivacea","Emminia olivacea","Squamata",NA,"Gymnophthalmidae","gbif_only",NA
"Chacophrys pierottii","Chacophrys pierottii",NA,"Amphibia","Anura","Ceratophryidae","gbif_only",NA
"Chaetura andrei","Chaetura andrei",NA,"Aves","Apodiformes","Apodidae","gbif_only",NA
"Chiasmocleis bicegoi","Chiasmocleis bicegoi",NA,"Amphibia","Anura","Microhylidae","gbif_only",NA
"Chiasmocleis lacrimae","Chiasmocleis lacrimae",NA,"Amphibia","Anura","Microhylidae","gbif_only",NA
"Chironius gouveai","Chironius gouveai",NA,"Squamata",NA,"Colubridae","gbif_only",NA
"Chlorosoma laticeps","Chlorosoma laticeps","Philodryas laticeps","Squamata",NA,"Colubridae","gbif_only",NA
"Chlorospingus pileatus","Chlorospingus pileatus",NA,"Aves","Passeriformes","Passerellidae","gbif_only",NA
"Chordeiles pusillus","Chordeiles pusillus",NA,"Aves","Caprimulgiformes","Caprimulgidae","gbif_only",NA
"Chunga burmeisteri","Chunga burmeisteri",NA,"Aves","Cariamiformes","Cariamidae","gbif_only",NA
"Clyomys bishopi","Clyomys bishopi",NA,"Mammalia","Rodentia","Echimyidae","gbif_only",NA
"Coccyzus cinereus","Coccyzus cinereus",NA,"Aves","Cuculiformes","Cuculidae","gbif_only",NA
"Colobosaura kraepelini","Colobosaura kraepelini","Perodactylus kraepelini","Squamata",NA,"Gymnophthalmidae","gbif_only",NA
"Columbina inca","Columbina inca","Chamaepelia inca","Aves","Columbiformes","Columbidae","gbif_only",NA
"Copeoglossum arajara","Copeoglossum arajara","Mabuya arajara","Squamata",NA,"Scincidae","gbif_only",NA
"Copeoglossum nigropunctatum","Copeoglossum nigropunctatum","Scincus nigropunctatus","Squamata",NA,"Scincidae","gbif_only",NA
"Corallus priscus","Corallus priscus",NA,"Squamata",NA,"Boidae","gbif_only",NA
"Cranioleuca sulphurifera","Cranioleuca sulphurifera",NA,"Aves","Passeriformes","Furnariidae","gbif_only",NA
"Craugastor fitzingeri","Craugastor fitzingeri","Hylodes fitzingeri","Amphibia","Anura","Craugastoridae","gbif_only",NA
"Crossodactylus franciscanus","Crossodactylus franciscanus",NA,"Amphibia","Anura","Hylodidae","gbif_only",NA
"Dasyprocta punctata","Dasyprocta punctata",NA,"Mammalia","Rodentia","Dasyproctidae","gbif_only",NA
"Dasypterus ega","Dasypterus ega","Nycticejus ega","Mammalia","Chiroptera","Vespertilionidae","gbif_only",NA
"Dendrophryniscus haddadi","Dendrophryniscus haddadi",NA,"Amphibia","Anura","Bufonidae","gbif_only",NA
"Dendrophryniscus jureia","Dendrophryniscus jureia",NA,"Amphibia","Anura","Bufonidae","gbif_only",NA
"Dendropsophus bromeliaceus","Dendropsophus bromeliaceus",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Dendropsophus nekronastes","Dendropsophus nekronastes",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Dendropsophus tapacurensis","Dendropsophus tapacurensis",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Didelphopsis cabrerai","Didelphopsis cabrerai",NA,"Mammalia","Didelphimorphia","Didelphidae","gbif_only",NA
"Eimeria akodonensis","Eimeria akodonensis",NA,"Aves","Columbiformes","Columbidae","gbif_only",NA
"Eimeria ferreirai","Eimeria ferreirai",NA,"Aves","Columbiformes","Columbidae","gbif_only",NA
"Elaenia martinica","Elaenia martinica","Muscicapa martinica","Aves","Passeriformes","Tyrannidae","gbif_only",NA
"Eleothreptus candicans","Eleothreptus candicans","Stenopsis candicans","Aves","Caprimulgiformes","Caprimulgidae","gbif_only",NA
"Eleutherodactylus planirostris","Eleutherodactylus planirostris","Hylodes planirostris","Amphibia","Anura","Eleutherodactylidae","gbif_only",NA
"Enyalius boulengeri","Enyalius boulengeri",NA,"Squamata",NA,"Leiosauridae","gbif_only",NA
"Enyalius capetinga","Enyalius capetinga",NA,"Squamata",NA,"Leiosauridae","gbif_only",NA
"Epicrates alvarezi","Epicrates alvarezi",NA,"Squamata",NA,"Boidae","gbif_only",NA
"Epictia australis","Epictia australis","Leptotyphlops australis","Squamata",NA,"Leptotyphlopidae","gbif_only",NA
"Erythrolamprus bizona","Erythrolamprus bizona",NA,"Squamata",NA,"Colubridae","gbif_only",NA
"Eulampis jugularis","Eulampis jugularis","Trochilus jugularis","Aves","Apodiformes","Trochilidae","gbif_only",NA
"Eupetomena cirrochloris","Eupetomena cirrochloris","Trochilus cirrochloris","Aves","Apodiformes","Trochilidae","gbif_only",NA
"Euphonia musica","Euphonia musica","Pipra musica","Aves","Passeriformes","Fringillidae","gbif_only",NA
"Furnarius cristatus","Furnarius cristatus",NA,"Aves","Passeriformes","Furnariidae","gbif_only",NA
"Glaucidium nana","Glaucidium nana","Strix nana","Aves","Strigiformes","Strigidae","gbif_only",NA
"Glaucomastix itabaianensis","Glaucomastix itabaianensis",NA,"Squamata",NA,"Teiidae","gbif_only",NA
"Glaucomastix littoralis","Glaucomastix littoralis","Cnemidophorus littoralis","Squamata",NA,"Teiidae","gbif_only",NA
"Glaucomastix venetacauda","Glaucomastix venetacauda","Cnemidophorus venetacaudus","Squamata",NA,"Teiidae","gbif_only",NA
"Goldmania violiceps","Goldmania violiceps",NA,"Aves","Apodiformes","Trochilidae","gbif_only",NA
"Hechtophis austrinus","Hechtophis austrinus",NA,"Squamata",NA,"Boidae","gbif_only",NA
"Helicops nentur","Helicops nentur",NA,"Squamata",NA,"Colubridae","gbif_only",NA
"Hyloscirtus platydactylus","Hyloscirtus platydactylus",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Ischnocnema colibri","Ischnocnema colibri",NA,"Amphibia","Anura","Brachycephalidae","gbif_only",NA
"Ischnocnema feioi","Ischnocnema feioi",NA,"Amphibia","Anura","Brachycephalidae","gbif_only",NA
"Ischnocnema garciai","Ischnocnema garciai",NA,"Amphibia","Anura","Brachycephalidae","gbif_only",NA
"Ischnocnema parnaso","Ischnocnema parnaso",NA,"Amphibia","Anura","Brachycephalidae","gbif_only",NA
"Jacana spinosa","Jacana spinosa","Fulica spinosa","Aves","Charadriiformes","Jacanidae","gbif_only",NA
"Julianus pinimus","Julianus pinimus","Hyla pinima","Amphibia","Anura","Hylidae","gbif_only",NA
"Julianus uruguayus","Julianus uruguayus","Hyla uruguaya","Amphibia","Anura","Hylidae","gbif_only",NA
"Lagostomus maximus","Lagostomus maximus","Dipus maximus","Mammalia","Rodentia","Chinchillidae","gbif_only",NA
"Laterallus albigularis","Laterallus albigularis",NA,"Aves","Gruiformes","Rallidae","gbif_only",NA
"Leopardus colocolo","Leopardus colocolo","Felis colocolo","Mammalia","Carnivora","Felidae","gbif_only",NA
"Leopardus guigna","Leopardus guigna","Felis guigna","Mammalia","Carnivora","Felidae","gbif_only",NA
"Leptodactylus poecilochilus","Leptodactylus poecilochilus","Cystignathus poecilochilus","Amphibia","Anura","Leptodactylidae","gbif_only",NA
"Lestodon armatus","Lestodon armatus",NA,"Mammalia","Pilosa","Mylodontidae","gbif_only",NA
"Leucopternis schistaceus","Leucopternis schistaceus","Asturina schistacea","Aves","Accipitriformes","Accipitridae","gbif_only",NA
"Liolaemus wiegmannii","Liolaemus wiegmannii","Proctotretus wiegmannii","Squamata",NA,"Liolaemidae","gbif_only",NA
"Loddigesia mirabilis","Loddigesia mirabilis","Trochilus mirabilis","Aves","Apodiformes","Trochilidae","gbif_only",NA
"Mareca sibilatrix","Mareca sibilatrix","Anas sibilatrix","Aves","Anseriformes","Anatidae","gbif_only",NA
"Marmosopsis juradoi","Marmosopsis juradoi",NA,"Mammalia","Didelphimorphia","Didelphidae","gbif_only",NA
"Megaelosia apuana","Megaelosia apuana",NA,"Amphibia","Anura","Hylodidae","gbif_only",NA
"Megaelosia bocainensis","Megaelosia bocainensis",NA,"Amphibia","Anura","Hylodidae","gbif_only",NA
"Megaelosia boticariana","Megaelosia boticariana",NA,"Amphibia","Anura","Hylodidae","gbif_only",NA
"Melanerpes pulcher","Melanerpes pulcher",NA,"Aves","Piciformes","Picidae","gbif_only",NA
"Melanophryniscus stelzneri","Melanophryniscus stelzneri","Phryniscus stelzneri","Amphibia","Anura","Bufonidae","gbif_only",NA
"Micronycteris brosseti","Micronycteris brosseti",NA,"Mammalia","Chiroptera","Phyllostomidae","gbif_only",NA
"Mitu mitu","Mitu mitu","Crax mitu","Aves","Galliformes","Cracidae","gbif_only",NA
"Myotis keaysi","Myotis keaysi",NA,"Mammalia","Chiroptera","Vespertilionidae","gbif_only",NA
"Myrmeciza pelzelni","Myrmeciza pelzelni",NA,"Aves","Passeriformes","Thamnophilidae","gbif_only",NA
"Myrmotherula luctuosa","Myrmotherula luctuosa",NA,"Aves","Passeriformes","Thamnophilidae","gbif_only",NA
"Nasua narica","Nasua narica","Viverra narica","Mammalia","Carnivora","Procyonidae","gbif_only",NA
"Natalus stramineus","Natalus stramineus",NA,"Mammalia","Chiroptera","Natalidae","gbif_only",NA
"Necromys temchuki","Necromys temchuki",NA,"Mammalia","Rodentia","Cricetidae","gbif_only",NA
"Nothoprocta cinerascens","Nothoprocta cinerascens",NA,"Aves","Tinamiformes","Tinamidae","gbif_only",NA
"Notiochelidon cyanoleuca","Notiochelidon cyanoleuca","Hirundo cyanoleuca","Aves","Passeriformes","Hirundinidae","gbif_only",NA
"Nyctibius jamaicensis","Nyctibius jamaicensis","Caprimulgus jamaicensis","Aves","Nyctibiiformes","Nyctibiidae","gbif_only",NA
"Nyctimantis arapapa","Nyctimantis arapapa",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Odontophrynus juquinha","Odontophrynus juquinha",NA,"Amphibia","Anura","Odontophrynidae","gbif_only",NA
"Odontophrynus reigi","Odontophrynus reigi",NA,"Amphibia","Anura","Odontophrynidae","gbif_only",NA
"Odontophrynus toledoi","Odontophrynus toledoi",NA,"Amphibia","Anura","Odontophrynidae","gbif_only",NA
"Oligoryzomys fornesi","Oligoryzomys fornesi","Oryzomys fornesi","Mammalia","Rodentia","Cricetidae","gbif_only",NA
"Ololygon agilis","Ololygon agilis","Hyla agilis","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon albicans","Ololygon albicans","Hyla albicans","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon alcatraz","Ololygon alcatraz","Hyla catharinae","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon arduous","Ololygon arduous","Scinax arduous","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon ariadne","Ololygon ariadne","Hyla ariadne","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon aromothyella","Ololygon aromothyella","Scinax aromothyella","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon belloni","Ololygon belloni","Scinax belloni","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon caissara","Ololygon caissara","Scinax caissara","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon canastrensis","Ololygon canastrensis","Hyla canastrensis","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon carnevallii","Ololygon carnevallii",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon centralis","Ololygon centralis","Scinax centralis","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon cosenzai","Ololygon cosenzai","Scinax cosenzai","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon faivovichi","Ololygon faivovichi","Scinax faivovichi","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon flavoguttata","Ololygon flavoguttata",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon heyeri","Ololygon heyeri",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon hiemalis","Ololygon hiemalis","Hyla hiemalis","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon humilis","Ololygon humilis","Hyla humilis","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon jureia","Ololygon jureia","Hyla jureia","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon kautskyi","Ololygon kautskyi",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon littoreus","Ololygon littoreus",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon longilinea","Ololygon longilinea","Hyla longilinea","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon luizotavioi","Ololygon luizotavioi",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon machadoi","Ololygon machadoi","Hyla machadoi","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon melanodactyla","Ololygon melanodactyla","Scinax melanodactylus","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon muriciensis","Ololygon muriciensis","Scinax muriciensis","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon obtriangulata","Ololygon obtriangulata","Hyla obtriangulata","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon peixotoi","Ololygon peixotoi","Scinax peixotoi","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon ranki","Ololygon ranki","Hyla ranki","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon strigilata","Ololygon strigilata","Hyla strigilata","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon trapicheiroi","Ololygon trapicheiroi",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon tripui","Ololygon tripui","Scinax tripui","Amphibia","Anura","Hylidae","gbif_only",NA
"Ololygon v-signata","Ololygon v-signata","Hyla perpusilla","Amphibia","Anura","Hylidae","gbif_only",NA
"Ophiodes intermedius","Ophiodes intermedius",NA,"Squamata",NA,"Diploglossidae","gbif_only",NA
"Oressochen jubatus","Oressochen jubatus",NA,"Aves","Anseriformes","Anatidae","gbif_only",NA
"Oxymycterus misionalis","Oxymycterus misionalis",NA,"Mammalia","Rodentia","Cricetidae","gbif_only",NA
"Oxymycterus roberti","Oxymycterus roberti",NA,"Mammalia","Rodentia","Cricetidae","gbif_only",NA
"Paraungaliophis pricei","Paraungaliophis pricei",NA,"Squamata",NA,"Boidae","gbif_only",NA
"Pecari pecari","Pecari pecari",NA,"Mammalia","Artiodactyla","Tayassuidae","gbif_only",NA
"Periprotodidelphis bergqvistae","Periprotodidelphis bergqvistae",NA,"Mammalia","Didelphimorphia","Protodidelphidae","gbif_only",NA
"Phalotris nigrilatus","Phalotris nigrilatus",NA,"Squamata",NA,"Colubridae","gbif_only",NA
"Phyllodytes amadoi","Phyllodytes amadoi",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Phyllodytes magnus","Phyllodytes magnus",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Phyllodytes megatympanum","Phyllodytes megatympanum",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Phyllodytes praeceptor","Phyllodytes praeceptor",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Phyllopezus diamantino","Phyllopezus diamantino",NA,"Squamata",NA,"Phyllodactylidae","gbif_only",NA
"Phyllopezus selmae","Phyllopezus selmae",NA,"Squamata",NA,"Phyllodactylidae","gbif_only",NA
"Phyllotis xanthopygus","Phyllotis xanthopygus",NA,"Mammalia","Rodentia","Cricetidae","gbif_only",NA
"Physalaemus araxa","Physalaemus araxa",NA,"Amphibia","Anura","Leptodactylidae","gbif_only",NA
"Physalaemus carrizorum","Physalaemus carrizorum",NA,"Amphibia","Anura","Leptodactylidae","gbif_only",NA
"Physalaemus fernandezae","Physalaemus fernandezae","Paludicola fernandezae","Amphibia","Anura","Leptodactylidae","gbif_only",NA
"Physalaemus santafecinus","Physalaemus santafecinus",NA,"Amphibia","Anura","Leptodactylidae","gbif_only",NA
"Piranga hepatica","Piranga hepatica",NA,"Aves","Passeriformes","Cardinalidae","gbif_only",NA
"Pleurodema borellii","Pleurodema borellii","Paludicola borellii","Amphibia","Anura","Leptodactylidae","gbif_only",NA
"Podocnemis harrisi","Podocnemis harrisi",NA,"Testudines",NA,"Podocnemididae","gbif_only",NA
"Pristimantis rupicola","Pristimantis rupicola",NA,"Amphibia","Anura","Craugastoridae","gbif_only",NA
"Proceratophrys gladius","Proceratophrys gladius",NA,"Amphibia","Anura","Odontophrynidae","gbif_only",NA
"Proceratophrys itamari","Proceratophrys itamari",NA,"Amphibia","Anura","Odontophrynidae","gbif_only",NA
"Proceratophrys mantiqueira","Proceratophrys mantiqueira",NA,"Amphibia","Anura","Odontophrynidae","gbif_only",NA
"Proceratophrys pombali","Proceratophrys pombali",NA,"Amphibia","Anura","Odontophrynidae","gbif_only",NA
"Pseudopaludicola atragula","Pseudopaludicola atragula",NA,"Amphibia","Anura","Leptodactylidae","gbif_only",NA
"Pseudopaludicola coracoralinae","Pseudopaludicola coracoralinae",NA,"Amphibia","Anura","Leptodactylidae","gbif_only",NA
"Pseudopaludicola florencei","Pseudopaludicola florencei",NA,"Amphibia","Anura","Leptodactylidae","gbif_only",NA
"Pseudopaludicola pusilla","Pseudopaludicola pusilla","Paludicola pusilla","Amphibia","Anura","Leptodactylidae","gbif_only",NA
"Pseudopaludicola restinga","Pseudopaludicola restinga",NA,"Amphibia","Anura","Leptodactylidae","gbif_only",NA
"Psilops mucugensis","Psilops mucugensis",NA,"Squamata",NA,"Gymnophthalmidae","gbif_only",NA
"Psychosaura agmosticha","Psychosaura agmosticha","Mabuya agmosticha","Squamata",NA,"Scincidae","gbif_only",NA
"Psychosaura macrorhyncha","Psychosaura macrorhyncha","Mabuya macrorhyncha","Squamata",NA,"Scincidae","gbif_only",NA
"Pulsatrix melanota","Pulsatrix melanota","Noctua melanota","Aves","Strigiformes","Strigidae","gbif_only",NA
"Pyrrhura lepida","Pyrrhura lepida",NA,"Aves","Psittaciformes","Psittacidae","gbif_only",NA
"Ramphastos ariel","Ramphastos ariel",NA,"Aves","Piciformes","Ramphastidae","gbif_only",NA
"Rhinella casconi","Rhinella casconi",NA,"Amphibia","Anura","Bufonidae","gbif_only",NA
"Rhinella stanlaii","Rhinella stanlaii","Bufo stanlaii","Amphibia","Anura","Bufonidae","gbif_only",NA
"Riolestes capricornicus","Riolestes capricornicus",NA,"Mammalia","Paucituberculata",NA,"gbif_only",NA
"Salvator rufescens","Salvator rufescens","Teius rufescens","Squamata",NA,"Teiidae","gbif_only",NA
"Scinax tropicalia","Scinax tropicalia",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Sciurus spadiceus","Sciurus spadiceus",NA,"Mammalia","Rodentia","Sciuridae","gbif_only",NA
"Sclerurus mexicanus","Sclerurus mexicanus",NA,"Aves","Passeriformes","Furnariidae","gbif_only",NA
"Sphaenorhynchus canga","Sphaenorhynchus canga",NA,"Amphibia","Anura","Hylidae","gbif_only",NA
"Sphaenorhynchus platycephalus","Sphaenorhynchus platycephalus","Hylopsis platycephalus","Amphibia","Anura","Hylidae","gbif_only",NA
"Sphiggurus spinosus","Sphiggurus spinosus","Coendou spinosus","Mammalia","Rodentia","Erethizontidae","gbif_only",NA
"Sphiggurus villosus","Sphiggurus villosus",NA,"Mammalia","Rodentia","Erethizontidae","gbif_only",NA
"Stigmatura bahiae","Stigmatura bahiae",NA,"Aves","Passeriformes","Tyrannidae","gbif_only",NA
"Sylvilagus tapetillus","Sylvilagus tapetillus",NA,"Mammalia","Lagomorpha","Leporidae","gbif_only",NA
"Synallaxis brachyura","Synallaxis brachyura",NA,"Aves","Passeriformes","Furnariidae","gbif_only",NA
"Synallaxis cinnamomea","Synallaxis cinnamomea",NA,"Aves","Passeriformes","Furnariidae","gbif_only",NA
"Taubatornis campbelli","Taubatornis campbelli",NA,"Aves","Accipitriformes","Cathartidae","gbif_only",NA
"Thylamys pusillus","Thylamys pusillus",NA,"Mammalia","Didelphimorphia","Didelphidae","gbif_only",NA
"Tijuca atra","Tijuca atra",NA,"Aves","Passeriformes","Cotingidae","gbif_only",NA
"Trogon strigilatus","Trogon strigilatus",NA,"Aves","Trogoniformes","Trogonidae","gbif_only",NA
"Tropidophis taczanowskyi","Tropidophis taczanowskyi","Ungalia taczanowskyi","Squamata",NA,"Tropidophiidae","gbif_only",NA
"Tropidurus lagunablanca","Tropidurus lagunablanca",NA,"Squamata",NA,"Tropiduridae","gbif_only",NA
"Uberabatrachus carvalhoi","Uberabatrachus carvalhoi",NA,"Amphibia","Anura","Ceratophryidae","gbif_only",NA
"Vitreorana assuh","Vitreorana assuh",NA,"Amphibia","Anura","Centrolenidae","gbif_only",NA
"Vitreorana baliomma","Vitreorana baliomma",NA,"Amphibia","Anura","Centrolenidae","gbif_only",NA
"Vultur gryphus","Vultur gryphus",NA,"Aves","Accipitriformes","Cathartidae","gbif_only",NA
"Waincophis cameratus","Waincophis cameratus",NA,"Squamata",NA,"Boidae","gbif_only",NA
"Waincophis pressulus","Waincophis pressulus",NA,"Squamata",NA,"Boidae","gbif_only",NA
"Xenops genibarbis","Xenops genibarbis",NA,"Aves","Passeriformes","Furnariidae","gbif_only",NA
"Zachaenus carvalhoi","Zachaenus carvalhoi",NA,"Amphibia","Anura","Cycloramphidae","gbif_only",NA
"Zachaenus parvulus","Zachaenus parvulus","Cystignathus parvulus","Amphibia","Anura","Cycloramphidae","gbif_only",NA
